Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_B1_P2-B-1_01_31611.mzML:scan:151,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_G10_P1-G-10_01_31764.mzML:scan:167,1,0.96,4,MSV000082481,NoID
0,mzspec:MSV000084701:Ca_3uL_GA9_01_17092.mzML:scan:1526,1,0.96,5,MSV000084701,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H8_P1-H-8_01_31788.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D7_P2-D-7_01_31669.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H2_P2-H-2_01_31769.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H7_P2-H-7_01_31774.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000080976:P2_RB12_01_9424.mzML:scan:495,1,0.96,5,MSV000080976,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_A10_P2-A-10_01_31594.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_Daw3Inter_HenTrial1_H11_P1-H-11_01_28458.mzML:scan:130,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C2_P1-C-2_01_31651.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C10_P1-C-10_01_31659.mzML:scan:154,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_A8_P1-A-8_01_31605.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_D4_P1-D-4_01_28762.mzML:scan:126,1,0.96,4,MSV000082481,NoID
-1.01,mzspec:MSV000082481:24hrs_3Crt_HenTrial1_A4_P1-A-4_01_28230.mzML:scan:130,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_G3_P2-G-3_01_31744.mzML:scan:168,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B5_P1-B-5_01_31628.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H8_P2-H-8_01_31775.mzML:scan:173,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_A5_P2-A-5_01_31589.mzML:scan:142,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C2_P1-C-2_01_31651.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H12_P2-H-12_01_31779.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000083010:G86866_1x_RB10_01_23501.mzML:scan:220,1,0.96,5,MSV000083010,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D4_P2-D-4_01_31666.mzML:scan:154,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_D6_P1-D-6_01_31681.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C5_P2-C-5_01_31641.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C3_P1-C-3_01_31652.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082074:G86866_1x_RB10_01_23501.mzML:scan:220,1,0.96,5,MSV000082074,NoID
-1,mzspec:MSV000082423:G96255_5x_BH7_01_32564.mzML:scan:251,1,0.96,4,MSV000082423,NoID
0,mzspec:MSV000082221:PLCL20120_RE10_01_28279.mzML:scan:853,1,0.96,4,MSV000082221,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H11_P2-H-11_01_31778.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000083010:G75572_5x_RA9_01_20128.mzML:scan:207,1,0.96,4,MSV000083010,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H5_P1-H-5_01_31785.mzML:scan:166,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B6_P1-B-6_01_31629.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H12_P2-H-12_01_31779.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C7_P1-C-7_01_31656.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_D4_P1-D-4_01_31679.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H3_P2-H-3_01_31770.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000084900:G86866_1x_RB10_01_23501.mzML:scan:220,1,0.96,5,MSV000084900,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_A6_P2-A-6_01_31590.mzML:scan:140,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_F2_P1-F-2_01_28812.mzML:scan:130,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000083010:G79630_1x_rerun_RB10_01_23313.mzML:scan:276,1,0.96,4,MSV000083010,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B9_P1-B-9_01_31632.mzML:scan:160,1,0.96,4,MSV000082481,NoID
0,mzspec:MSV000082074:G72723_BA12_01_18647.mzML:scan:975,1,0.96,4,MSV000082074,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B8_P1-B-8_01_31631.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B3_P1-B-3_01_31626.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_G7_P1-G-7_01_31761.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_A3_P2-A-3_01_31587.mzML:scan:161,1,0.96,4,MSV000082481,NoID
0,mzspec:MSV000083010:G72723_BA12_01_18647.mzML:scan:975,1,0.96,4,MSV000083010,NoID
-1.01,mzspec:MSV000082481:24hrs_3Crt_HenTrial1_B6_P1-B-6_01_28258.mzML:scan:130,1,0.95,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_B12_P2-B-12_01_31622.mzML:scan:160,1,0.95,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_A5_P1-A-5_01_31602.mzML:scan:161,1,0.95,4,MSV000082481,NoID
-1,mzspec:MSV000084900:G74026_2x_rerun_RC9_01_19148.mzML:scan:192,1,0.95,4,MSV000084900,NoID
-0.99,mzspec:MSV000082074:G87587_1x_BA4_01_26541.mzML:scan:216,1,0.95,4,MSV000082074,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H1_P1-H-1_01_31781.mzML:scan:167,1,0.95,4,MSV000082481,NoID
-1,mzspec:MSV000083010:G72501_BC3_01_18940.mzML:scan:196,1,0.95,4,MSV000083010,NoID
-0.99,mzspec:MSV000084900:G87587_1x_BA4_01_26541.mzML:scan:216,1,0.95,4,MSV000084900,NoID
0,mzspec:MSV000084900:G72654_5x_BF11_01_18336.mzML:scan:976,1,0.95,4,MSV000084900,NoID
-1,mzspec:MSV000083010:G74026_2x_rerun_RC9_01_19148.mzML:scan:192,1,0.95,4,MSV000083010,NoID
0,mzspec:MSV000082969:G84954_GA8_01_36829.mzML:scan:885,1,0.95,4,MSV000082969,NoID
0,mzspec:MSV000083689:G84883_RF2_01_35492.mzML:scan:962,1,0.95,4,MSV000083689,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C8_P1-C-8_01_31657.mzML:scan:161,1,0.95,4,MSV000082481,NoID
-0.99,mzspec:MSV000084900:G87319_RD3_01_26113.mzML:scan:204,1,0.95,4,MSV000084900,NoID
0,mzspec:MSV000082069:Solvent_Blank_1_RA1_01_26066.mzML:scan:969,1,0.95,4,MSV000082069,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_E10_P2-E-10_01_31698.mzML:scan:147,1,0.95,4,MSV000082481,NoID
-1,mzspec:MSV000084900:G72739_10x_BB2_01_17894.mzML:scan:212,1,0.95,4,MSV000084900,NoID
0,mzspec:MSV000083689:G84861_RC11_01_35461.mzML:scan:958,1,0.95,4,MSV000083689,NoID
0,mzspec:MSV000084701:Ca_2uL_BA4_01_16977.mzML:scan:1516,1,0.95,4,MSV000084701,NoID
0,mzspec:MSV000083689:G84868_RG4_01_35507.mzML:scan:968,1,0.95,4,MSV000083689,NoID
-1,mzspec:MSV000084900:G75783_5x_BD2_01_19293.mzML:scan:208,1,0.95,4,MSV000084900,NoID
-0.99,mzspec:MSV000084900:G75655_5x_rerun_BH5_01_19405.mzML:scan:216,1,0.95,4,MSV000084900,NoID
0,mzspec:MSV000082221:PLCL22327.1_BG7_01_28401.mzML:scan:847,1,0.95,4,MSV000082221,NoID
-1,mzspec:MSV000082074:G79205_p19_g3_rerun_GB6_01_21715.mzML:scan:281,1,0.95,4,MSV000082074,NoID
-0.99,mzspec:MSV000083010:G87587_1x_BA4_01_26541.mzML:scan:216,1,0.95,4,MSV000083010,NoID
-1,mzspec:MSV000082423:G96261_5x_RH3_01_32477.mzML:scan:251,1,0.95,4,MSV000082423,NoID
0,mzspec:MSV000083689:G84868_RG4_01_35507.mzML:scan:965,1,0.95,4,MSV000083689,NoID
-1,mzspec:MSV000083010:G75783_5x_BD2_01_19293.mzML:scan:208,1,0.95,4,MSV000083010,NoID
-1,mzspec:MSV000082074:G78876_BG3_01_18742.mzML:scan:202,1,0.95,4,MSV000082074,NoID
-0.99,mzspec:MSV000082074:G79620_5x_RC6_01_18083.mzML:scan:216,1,0.95,4,MSV000082074,NoID
0,mzspec:MSV000083010:G72654_5x_BF11_01_18336.mzML:scan:976,1,0.95,4,MSV000083010,NoID
-0.99,mzspec:MSV000082221:PLCL22142_RH6_01_28314.mzML:scan:206,1,0.95,4,MSV000082221,NoID
-1,mzspec:MSV000082074:G75783_5x_BD2_01_19293.mzML:scan:208,1,0.95,4,MSV000082074,NoID
-1,mzspec:MSV000084900:G86917_1x_BG3_01_26633.mzML:scan:215,1,0.95,4,MSV000084900,NoID
-1,mzspec:MSV000084900:G79205_p19_g3_rerun_GB6_01_21715.mzML:scan:281,1,0.95,4,MSV000084900,NoID
-1,mzspec:MSV000082074:G78876_BG3_01_18742.mzML:scan:208,1,0.95,4,MSV000082074,NoID
0,mzspec:MSV000085120:BAX700_2x_BH7_01_24123.mzML:scan:825,1,0.95,4,MSV000085120,NoID
-1,mzspec:MSV000084900:G79576_5x_RC2_01_18075.mzML:scan:218,1,0.95,4,MSV000084900,NoID
0,mzspec:MSV000082969:G85239_RB9_01_37021.mzML:scan:858,1,0.95,4,MSV000082969,NoID
